codi_municipi;nom_municipi;codi_provincia;nom_provincia;codi_comarca;nom_comarca;utmX;utmY;longitud;latitud;georeferencia
14;Alegría-Dulantzi;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;Amurrio;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;Aramaio;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
40;Artziniega;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66;Armiñón;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
88;Arratzua-Ubarrundia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
91;Asparrena;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
105;Ayala/Aiara;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
112;Baños de Ebro/Mañueta;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
133;Barrundia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
148;Berantevilla;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
164;Bernedo;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
170;Campezo/Kanpezu;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
186;Zigoitia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
199;Kripan;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
203;Kuartango;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
210;Elburgo/Burgelu;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
225;Elciego;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
231;Elvillar/Bilar;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
278;Iruraiz-Gauna;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
284;Labastida/Bastida;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
301;Lagrán;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
318;Laguardia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
323;Lanciego/Lantziego;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
339;Lapuebla de Labarca;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
344;Leza;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
360;Laudio/Llodio;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
376;Arraia-Maeztu;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
395;Moreda de Álava/Moreda Araba;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
416;Navaridas;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
421;Okondo;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
437;Oyón-Oion;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
442;Peñacerrada-Urizaharra;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
468;Erriberagoitia/Ribera Alta;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
474;Erriberabeitia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
493;Añana;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
513;Agurain/Salvatierra;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
528;Samaniego;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
534;San Millán/Donemiliaga;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
549;Urkabustaiz;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
552;Valdegovía/Gaubea;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
565;Harana/Valle de Arana;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
571;Villabuena de Álava/Eskuernaga;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
587;Legutio;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
590;Vitoria-Gasteiz;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
604;Yécora/Iekora;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
611;Zalduondo;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
626;Zambrana;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
632;Zuia;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9015;Iruña Oka/Iruña de Oca;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9020;Lantarón;1;Àlaba;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;Abengibre;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
24;Alatoz;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30;Albacete;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
45;Albatana;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
58;Alborea;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61;Alcadozo;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77;Alcalá del Júcar;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
83;Alcaraz;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
96;Almansa;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
100;Alpera;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
117;Ayna;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
122;Balazote;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
138;Balsa de Ves;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
143;Ballestero, El;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
156;Barrax;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
169;Bienservida;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
175;Bogarra;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
181;Bonete;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
194;Bonillo, El;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
208;Carcelén;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
215;Casas de Juan Núñez;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
220;Casas de Lázaro;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
236;Casas de Ves;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
241;Casas-Ibáñez;2;Albacete;NULL;NULL;NULL;NULL;NULL;NULL;NULL
